iter	Passed	Remaining
0	1	100
1	1	89
2	2	82
3	3	75
4	3	73
5	4	71
6	5	69
7	6	73
8	8	81
9	8	80
10	9	79
11	10	77
12	11	75
13	12	73
14	12	72
15	13	70
16	14	69
17	14	68
18	15	66
19	16	65
20	17	64
21	17	63
22	18	62
23	19	61
24	20	60
25	21	59
26	22	62
27	23	61
28	24	60
29	25	59
30	26	58
31	26	56
32	27	55
33	28	54
34	29	53
35	29	52
36	30	51
37	31	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	34	44
44	35	43
45	36	43
46	37	42
47	38	41
48	39	40
49	40	40
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	33
57	45	33
58	46	32
59	47	31
60	48	30
61	48	29
62	49	29
63	50	28
64	51	27
65	52	26
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	57	21
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	62	16
79	62	15
80	64	15
81	65	14
82	66	13
83	67	12
84	68	12
85	68	11
86	69	10
87	70	9
88	71	8
89	71	7
90	72	7
91	73	6
92	74	5
93	74	4
94	75	3
95	76	3
96	77	2
97	77	1
98	78	0
99	79	0
