iter	Passed	Remaining
0	7	7941
1	8	4326
2	9	3119
3	10	2659
4	11	2285
5	12	1993
6	12	1780
7	13	1620
8	13	1495
9	14	1396
10	14	1313
11	15	1243
12	15	1183
13	16	1131
14	16	1087
15	17	1047
16	17	1012
17	17	980
18	18	952
19	18	926
20	19	903
21	19	882
22	20	867
23	20	852
24	21	839
25	22	830
26	23	831
27	24	844
28	25	846
29	25	836
30	26	827
31	27	817
32	27	808
33	28	800
34	28	792
35	29	781
36	29	771
37	30	762
38	30	752
39	31	744
40	31	736
41	31	728
42	32	721
43	32	714
44	33	708
45	33	702
46	34	696
47	34	690
48	35	684
49	35	679
50	36	676
51	37	677
52	38	692
53	39	697
54	40	695
55	41	691
56	41	686
57	42	682
58	42	678
59	43	675
60	43	671
61	44	667
62	44	662
63	45	658
64	45	654
65	45	650
66	46	647
67	47	644
68	47	641
69	48	637
70	48	634
71	48	630
72	49	627
73	49	623
74	50	620
75	50	619
76	51	621
77	52	623
78	53	624
79	54	622
80	54	620
81	55	618
82	55	613
83	56	611
84	56	609
85	57	607
86	57	604
87	58	602
88	58	599
89	59	596
90	59	594
91	59	591
92	60	589
93	60	587
94	61	585
95	61	583
96	62	581
97	62	578
98	63	576
99	63	574
100	64	571
101	64	569
102	65	568
103	65	567
104	66	569
105	67	570
106	68	571
107	69	570
108	69	568
109	70	566
110	70	564
111	71	563
112	71	562
113	72	560
114	72	558
115	73	556
116	73	554
117	73	552
118	74	550
119	74	548
120	75	547
121	75	544
122	76	543
123	76	541
124	77	540
125	77	538
126	78	536
127	78	534
128	78	533
129	79	531
130	79	530
131	80	529
132	81	529
133	82	531
134	83	532
135	83	530
136	84	529
137	84	528
138	85	526
139	85	525
140	86	525
141	86	522
142	87	521
143	87	520
144	88	519
145	88	517
146	88	516
147	89	514
148	89	513
149	90	512
150	90	510
151	91	509
152	91	508
153	92	506
154	92	505
155	93	504
156	93	502
157	94	501
158	94	500
159	95	500
160	96	501
161	97	502
162	97	502
163	98	501
164	98	500
165	99	499
166	99	498
167	100	497
168	100	496
169	101	496
170	102	495
171	102	494
172	103	493
173	103	492
174	104	491
175	104	490
176	105	489
177	105	487
178	106	486
179	106	485
180	107	484
181	107	483
182	108	482
183	108	481
184	109	480
185	109	479
186	110	480
187	111	481
188	112	481
189	112	481
190	113	480
191	114	479
192	114	479
193	115	479
194	115	478
195	116	478
196	117	477
197	117	476
198	118	475
199	118	474
200	119	473
201	119	472
202	120	471
203	120	470
204	121	469
205	121	468
206	122	467
207	122	466
208	122	465
209	123	464
210	124	463
211	124	463
212	125	463
213	126	464
214	127	464
215	127	463
216	128	463
217	128	462
218	129	462
219	130	461
220	130	461
221	131	460
222	132	460
223	132	459
224	133	458
225	133	457
226	134	456
227	134	455
228	134	454
229	135	453
230	135	452
231	136	451
232	136	450
233	137	449
234	137	448
235	138	447
236	138	446
237	139	445
238	139	445
239	140	446
240	141	445
241	142	446
242	143	445
243	143	444
244	144	443
245	144	443
246	145	442
247	145	441
248	146	440
249	146	439
250	146	438
251	147	437
252	147	436
253	148	435
254	148	434
255	149	433
256	150	433
257	150	433
258	151	432
259	151	431
260	152	430
261	152	429
262	153	428
263	153	428
264	154	427
265	155	428
266	156	428
267	156	428
268	157	427
269	157	426
270	158	425
271	158	425
272	159	424
273	159	423
274	160	422
275	160	421
276	161	420
277	161	419
278	162	418
279	162	418
280	163	417
281	163	416
282	163	415
283	164	414
284	164	413
285	165	412
286	165	411
287	166	410
288	166	410
289	167	409
290	167	408
291	168	408
292	169	408
293	170	409
294	171	408
295	171	408
296	172	407
297	172	406
298	173	405
299	173	405
300	174	404
301	174	403
302	175	402
303	175	402
304	176	401
305	176	400
306	177	399
307	177	398
308	177	397
309	178	397
310	178	396
311	179	395
312	179	394
313	180	393
314	180	392
315	181	392
316	181	391
317	182	390
318	182	389
319	183	389
320	184	390
321	185	390
322	186	389
323	186	389
324	187	388
325	187	387
326	188	387
327	188	386
328	189	385
329	189	385
330	190	384
331	190	383
332	191	383
333	191	382
334	192	381
335	192	380
336	193	379
337	193	379
338	194	378
339	194	377
340	194	376
341	195	375
342	195	375
343	196	374
344	197	374
345	197	373
346	198	373
347	199	373
348	200	373
349	200	372
350	201	372
351	201	371
352	202	370
353	202	370
354	203	369
355	203	368
356	204	367
357	204	367
358	205	366
359	205	365
360	206	364
361	206	364
362	207	363
363	207	362
364	208	361
365	208	361
366	208	360
367	209	359
368	209	358
369	210	358
370	210	357
371	211	356
372	212	356
373	212	355
374	213	356
375	214	356
376	215	355
377	215	355
378	216	354
379	216	353
380	217	353
381	217	352
382	218	351
383	218	351
384	219	350
385	219	349
386	220	348
387	220	348
388	221	347
389	221	346
390	222	345
391	222	345
392	223	344
393	223	343
394	224	343
395	225	343
396	225	342
397	225	341
398	226	341
399	227	340
400	227	340
401	228	340
402	229	340
403	230	339
404	230	338
405	231	338
406	231	337
407	232	336
408	232	336
409	233	335
410	233	334
411	234	334
412	234	333
413	235	332
414	235	332
415	236	331
416	236	330
417	237	330
418	237	329
419	238	328
420	238	327
421	238	327
422	239	326
423	239	325
424	240	325
425	240	324
426	241	323
427	241	323
428	243	323
429	244	323
430	244	323
431	245	322
432	245	321
433	246	321
434	246	320
435	247	320
436	248	319
437	248	318
438	249	318
439	249	317
440	250	316
441	250	316
442	250	315
443	251	314
444	252	314
445	252	313
446	253	313
447	253	312
448	254	311
449	254	311
450	255	310
451	255	309
452	255	309
453	256	308
454	257	308
455	258	308
456	259	308
457	259	307
458	260	306
459	260	306
460	261	305
461	262	305
462	262	304
463	263	303
464	263	303
465	264	302
466	264	301
467	265	301
468	265	300
469	266	300
470	266	299
471	267	298
472	267	298
473	268	297
474	268	296
475	268	296
476	269	295
477	269	294
478	270	294
479	270	293
480	271	292
481	272	292
482	273	292
483	274	292
484	274	291
485	275	291
486	275	290
487	276	290
488	277	289
489	277	288
490	278	288
491	278	287
492	279	287
493	279	286
494	280	286
495	280	285
496	281	284
497	281	284
498	282	283
499	282	282
500	283	282
501	283	281
502	284	280
503	284	280
504	285	279
505	285	279
506	286	278
507	287	278
508	288	278
509	289	278
510	290	277
511	290	276
512	291	276
513	291	275
514	292	275
515	292	274
516	293	274
517	294	273
518	294	272
519	295	272
520	295	271
521	296	271
522	296	270
523	297	269
524	297	269
525	298	268
526	298	268
527	299	267
528	299	266
529	300	266
530	300	265
531	301	265
532	302	265
533	303	264
534	303	264
535	304	263
536	304	262
537	305	262
538	305	261
539	306	260
540	306	260
541	307	259
542	307	259
543	308	258
544	308	257
545	309	257
546	309	256
547	310	255
548	310	255
549	311	254
550	311	253
551	312	253
552	312	252
553	312	251
554	313	251
555	313	250
556	314	250
557	314	249
558	315	248
559	315	248
560	316	247
561	317	247
562	317	246
563	318	245
564	318	245
565	319	244
566	319	244
567	320	243
568	320	242
569	320	242
570	321	241
571	321	240
572	322	240
573	322	239
574	323	239
575	323	238
576	324	237
577	324	237
578	325	236
579	325	235
580	326	235
581	326	234
582	327	233
583	327	233
584	328	232
585	328	232
586	328	231
587	329	230
588	329	230
589	330	229
590	331	229
591	331	228
592	332	227
593	332	227
594	332	226
595	333	226
596	333	225
597	334	224
598	334	224
599	335	223
600	335	222
601	336	222
602	336	221
603	337	221
604	337	220
605	338	219
606	338	219
607	338	218
608	339	217
609	339	217
610	340	216
611	340	216
612	341	215
613	341	214
614	342	214
615	342	213
616	343	213
617	343	212
618	344	211
619	344	211
620	345	210
621	345	210
622	346	209
623	346	208
624	347	208
625	347	207
626	347	206
627	348	206
628	348	205
629	349	205
630	350	204
631	350	204
632	351	203
633	351	202
634	352	202
635	352	201
636	353	201
637	353	200
638	354	200
639	354	199
640	355	199
641	355	198
642	356	197
643	357	197
644	357	196
645	358	196
646	358	195
647	359	195
648	359	194
649	360	194
650	361	193
651	361	193
652	362	192
653	363	192
654	364	191
655	365	191
656	365	190
657	366	190
658	366	189
659	367	189
660	368	188
661	368	188
662	369	187
663	369	187
664	370	186
665	371	186
666	371	185
667	372	185
668	372	184
669	373	183
670	374	183
671	374	182
672	375	182
673	376	181
674	376	181
675	377	180
676	378	180
677	378	179
678	379	179
679	379	178
680	380	178
681	381	177
682	381	177
683	382	176
684	382	176
685	383	175
686	384	175
687	384	174
688	385	173
689	385	173
690	386	172
691	387	172
692	387	171
693	388	171
694	388	170
695	389	170
696	390	169
697	391	169
698	392	168
699	392	168
700	393	167
701	393	167
702	394	166
703	394	166
704	395	165
705	395	164
706	396	164
707	397	163
708	397	163
709	398	162
710	398	162
711	399	161
712	399	160
713	400	160
714	400	159
715	401	159
716	402	158
717	402	158
718	403	157
719	404	157
720	404	156
721	405	156
722	406	155
723	406	155
724	407	154
725	407	153
726	408	153
727	408	152
728	409	152
729	410	151
730	410	151
731	410	150
732	411	149
733	411	149
734	412	148
735	412	148
736	413	147
737	413	146
738	414	146
739	414	145
740	415	145
741	415	144
742	416	143
743	416	143
744	417	142
745	418	142
746	418	141
747	419	141
748	419	140
749	419	139
750	420	139
751	420	138
752	421	138
753	421	137
754	422	136
755	422	136
